IndicatorId,IndicatorName,IndicatorShortName,Source,SourceYear,Author,LocationId,Location,Iso2,Iso3,TimeId,Time,VariantId,Variant,SexId,Sex,AgeId,AgeStart,AgeEnd,Age,CategoryId,Category,EstimateTypeId,EstimateType,EstimateMethodId,EstimateMethod,Value
80,"Age specific mortality rate m(x,n) - complete","Age-specific mortality rates by single age and by sex","World Population Prospects",2024,"United Nations Population Division",288,"Ghana","GH","GHA",76,"2025",4,"Median",1,"Male",101,70,70,"70",0,"Not applicable",1,"Model-based Estimates",3,"Projection",0.04513036
80,"Age specific mortality rate m(x,n) - complete","Age-specific mortality rates by single age and by sex","World Population Prospects",2024,"United Nations Population Division",288,"Ghana","GH","GHA",76,"2025",4,"Median",2,"Female",101,70,70,"70",0,"Not applicable",1,"Model-based Estimates",3,"Projection",0.03599532
80,"Age specific mortality rate m(x,n) - complete","Age-specific mortality rates by single age and by sex","World Population Prospects",2024,"United Nations Population Division",288,"Ghana","GH","GHA",76,"2025",4,"Median",1,"Male",162,71,71,"71",0,"Not applicable",1,"Model-based Estimates",3,"Projection",0.04960263
80,"Age specific mortality rate m(x,n) - complete","Age-specific mortality rates by single age and by sex","World Population Prospects",2024,"United Nations Population Division",288,"Ghana","GH","GHA",76,"2025",4,"Median",2,"Female",162,71,71,"71",0,"Not applicable",1,"Model-based Estimates",3,"Projection",0.03993091
80,"Age specific mortality rate m(x,n) - complete","Age-specific mortality rates by single age and by sex","World Population Prospects",2024,"United Nations Population Division",288,"Ghana","GH","GHA",76,"2025",4,"Median",1,"Male",163,72,72,"72",0,"Not applicable",1,"Model-based Estimates",3,"Projection",0.05454024
80,"Age specific mortality rate m(x,n) - complete","Age-specific mortality rates by single age and by sex","World Population Prospects",2024,"United Nations Population Division",288,"Ghana","GH","GHA",76,"2025",4,"Median",2,"Female",163,72,72,"72",0,"Not applicable",1,"Model-based Estimates",3,"Projection",0.04424337
80,"Age specific mortality rate m(x,n) - complete","Age-specific mortality rates by single age and by sex","World Population Prospects",2024,"United Nations Population Division",288,"Ghana","GH","GHA",76,"2025",4,"Median",1,"Male",164,73,73,"73",0,"Not applicable",1,"Model-based Estimates",3,"Projection",0.05994274
80,"Age specific mortality rate m(x,n) - complete","Age-specific mortality rates by single age and by sex","World Population Prospects",2024,"United Nations Population Division",288,"Ghana","GH","GHA",76,"2025",4,"Median",2,"Female",164,73,73,"73",0,"Not applicable",1,"Model-based Estimates",3,"Projection",0.04892678
80,"Age specific mortality rate m(x,n) - complete","Age-specific mortality rates by single age and by sex","World Population Prospects",2024,"United Nations Population Division",288,"Ghana","GH","GHA",76,"2025",4,"Median",1,"Male",165,74,74,"74",0,"Not applicable",1,"Model-based Estimates",3,"Projection",0.06583134
80,"Age specific mortality rate m(x,n) - complete","Age-specific mortality rates by single age and by sex","World Population Prospects",2024,"United Nations Population Division",288,"Ghana","GH","GHA",76,"2025",4,"Median",2,"Female",165,74,74,"74",0,"Not applicable",1,"Model-based Estimates",3,"Projection",0.05400359
